Authors,Article Title,Source Title,DOI,Publication Year,Abstract,selection,notes,背景/动机,目的/研究问题,结果,前人的相关工作,预测方式,软件度量/特征,度量/特征选择方法,度量/特征处理方法,是否有报告称软件故障预测的指标显著优于其他指标,数据集,数据集大小,数据集是否公开,数据集所处的开发阶段,数据集编程语言,建模技术,预测粒度,因变量,性能评估,论文评价
"Cotroneo, Domenico; Natella, Roberto; Pietrantuono, Roberto",Predicting aging-related bugs using software complexity metrics,PERFORMANCE EVALUATION,10.1016/j.peva.2012.09.004,2013,"Long-running software systems tend to show degraded performance and an increased failure occurrence rate. This problem, known as Software Aging, which is typically related to the runtime accumulation of error conditions, is caused by the activation of the so-called Aging-Related Bugs (ARBs). This paper aims to predict the location of Aging-Related Bugs in complex software systems, so as to aid their identification during testing. First, we carried out a bug data analysis on three large software projects in order to collect data about ARBs. Then, a set of software complexity metrics were selected and extracted from the three projects. Finally, by using such metrics as predictor variables and machine learning algorithms, we built fault prediction models that can be used to predict which source code files are more prone to Aging-Related Bugs. (c) 2012 Elsevier B.V. All rights reserved.",3,本文旨在预测复杂软件系统中老化相关bug的位置，以便在测试过程中进行识别。首先，我们对三个大型软件项目进行bug数据分析，收集arb数据。然后，从三个项目中选择并提取一组软件复杂性度量。,软件老化是发生在长时间运行的软件系统中的一种现象，随着运行时的增加，其故障率也会增加。这种现象通常与执行过程中错误的累积有关，这会导致资源逐渐耗尽、性能下降，并最终导致系统挂起或崩溃。,与衰老相关的bug (ARBs)，为了研究复杂性度量和arb之间的关系,当采用对数变换的朴素贝叶斯分类器时，可以有效地预测出arb倾向文件(达到较高的arb检测率和较低的误报率)。此外，我们发现在本研究中特别提出的复杂性度量(老化相关度量)有助于实现所有软件项目的良好性能。,,"跨版本
","Program size大小度量
McCabe’s cyclomatic complexity
Halstead metrics
Aging-Related Metrics",这些指标提供了对软件复杂性的粗略估计，它们已被用作易出错模块的简单预测器[33]。此外，我们还考虑了其他众所周知的指标，即McCabe的圈复杂度和Halstead指标[42]。这些指标分别基于代码中路径的数量以及操作数和操作符的数量。我们假设这些指标与arb有关，因为错误传播的复杂性(这是arb的显著特征[4])可能是由于程序的复杂结构。最后，我们引入一组与内存使用相关的指标(老化相关指标，arm)，我们假设这些指标与老化相关，因为大多数arb都与内存管理和数据结构处理相关(另见),,"因为分类性能会受到模型中包含的软件复杂性度量的选择的影响 信息增益属性排序算法
可以观察到，没有一个单独的指标可以单独用于分类，但是当考虑多个指标并让分类器确定如何组合这些指标时，可以获得最佳性能。
而且AllocOps指标本身不足以识别有arb倾向的文件，但是为了获得良好的性能，它必须与非老化相关的指标结合起来。总之，由于ARMs（Aging-Related Metrics (ARMs)）在所有三个项目中都改进了ARB预测(每种情况下都减少了PF，而在CARDAMOM中增加了PD)，因此这些指标可以被认为是预测这类bug的有用支持，应该尽可能采用。","Linux 13.2MLOC 30039 files
MySQL 1.5M LOC 2272 files
CARDAMOM 847K 4185",大,公开,完成,"C
C/C++
C++","朴素贝叶斯
贝叶斯网络
决策树
逻辑回归 ",文件级或者说模块级,故障倾向,"Probability of Detection (PD).
Probability of False alarms (PF)
Balance (Bal)
93.56 35.90 73.25",
"Calikli, Gul; Bener, Ayse Basar",Influence of confirmation biases of developers on software quality: an empirical study,SOFTWARE QUALITY JOURNAL,10.1007/s11219-012-9180-0,2013,"The thought processes of people have a significant impact on software quality, as software is designed, developed and tested by people. Cognitive biases, which are defined as patterned deviations of human thought from the laws of logic and mathematics, are a likely cause of software defects. However, there is little empirical evidence to date to substantiate this assertion. In this research, we focus on a specific cognitive bias, confirmation bias, which is defined as the tendency of people to seek evidence that verifies a hypothesis rather than seeking evidence to falsify a hypothesis. Due to this confirmation bias, developers tend to perform unit tests to make their program work rather than to break their code. Therefore, confirmation bias is believed to be one of the factors that lead to an increased software defect density. In this research, we present a metric scheme that explores the impact of developers' confirmation bias on software defect density. In order to estimate the effectiveness of our metric scheme in the quantification of confirmation bias within the context of software development, we performed an empirical study that addressed the prediction of the defective parts of software. In our empirical study, we used confirmation bias metrics on five datasets obtained from two companies. Our results provide empirical evidence that human thought processes and cognitive aspects deserve further investigation to improve decision making in software development for effective process management and resource allocation.",3,在这项研究中，我们提出了一个度量方案来探索开发人员确认偏差对软件缺陷密度的影响。,由于软件是由人开发和测试的，人们的思维过程可能对软件缺陷密度有重要的影响。因此，考虑到人们的思维过程的信息，在缺陷预测性能方面取得进一步的进展是非常可能的,"我们如何识别与软件开发过程相关的确认偏差的度量?
在预测软件中容易出现缺陷的部分时，确认偏差的度量是如何执行的?
探索认知偏差在软件开发和测试中的影响，
本研究的第一个目标是确定与软件开发过程相关的确认偏差的度量。我们准备了一个确认偏差测试，包括一个互动问题和一个书面问题集
本文的第二个目标是研究这些度量在预测软件中容易出现缺陷的部分时的表现。","我们获得的缺陷预测结果与仅从流失度量和仅从静态代码属性分别学习的缺陷预测器获得的结果一样好。
从长远来看，这项研究的目标是通过考虑与人的思维过程相关的度量来帮助软件开发经理做出具体的资源分配决策。这样的度量方案将帮助管理人员确定测试软件缺陷部分的合适人选。因此，与人的思维过程相关的度量标准的指导可以在很大程度上减少人力资源(HR)相关决策的不确定性。",在认知心理学中，确认偏误被定义为人们倾向于寻找能够证实其假设的证据，而不是寻找能够证伪其假设的证据。确认偏差一词最早由Peter watson在他的规则发现实验[44]中使用，后来在他的选择任务实验[45]中使用。,"跨版本
对于每个数据集，我们分别将确认偏差指标的预测性能与静态代码指标和流失指标的预测性能以及这三种指标类型的所有组合进行比较。","static：mccabe's、LOC metrics、Halstead Metrics
churn 改变指标
confirmation bias metrics确认偏差指标",,确认偏差度量套件中的度量分别从交互式问题和书面问题集中提取。,我们的实证结果表明，人们的思维过程对软件的缺陷倾向有重要的影响，因为使用确认偏差度量建立的缺陷预测模型在所有数据集中给出了与其他度量集一样好的结果,使用了来自两个行业合作伙伴的五个数据集，它们分别来自电信和ERP企业资源规划(领域。,"ERP 3199个文件
Telecom1 826  Telecom2 1481 Telecom3 284  Telecom4 63",私有,完成,JAVA,朴素贝叶斯,文件级,故障密度,"Probability of Detection (pd)
Probability of False Alarms (p f )
Balance (bal)",软件故障预测应考虑人为因素的影响，人类思考对软件的作用，确认偏差指标被认为是与静态和churn指标具有相同预测性能的
"Pizzi, Nick J.",A fuzzy classifier approach to estimating software quality,INFORMATION SCIENCES,10.1016/j.ins.2013.04.027,2013,"With the increasing sophistication of today's software systems, it is often difficult to estimate the overall quality of underlying software components with respect to attributes such as complexity, utility, and extensibility. Many metrics exist in the software engineering literature that attempt to quantify, with varying levels of accuracy, a large swath of qualitative attributes. However, the overall quality of a software object may manifest itself in ways that the simple interpretation of metrics fails to identify. A better strategy is to determine the best, possibly non-linear, subset of many software metrics for accurately estimating software quality. This strategy may be couched in terms of a problem of classification, that is, determine a mapping from a set of software metrics to a set of class labels representing software quality.We implement this strategy using a fuzzy classification approach. The software metrics are automatically computed and presented as features (input) to a classifier, while the class labels (output) are assigned via an expert's (software architect) thorough assessment of the quality of individual software objects. A large collection of classifiers is presented with subsets of the software metric features. Subsets are selected stochastically using a fuzzy logic based sampling method. The classifiers then predict the quality, specifically the class label, of each software object. Fuzzy integration is applied to the results from the most accurate individual classifiers. We empirically evaluate this approach using software objects from a sophisticated algorithm development framework used to develop biomedical data analysis systems. We demonstrate that the sampling method attenuates the effects of confounding features, and the aggregated classification results using fuzzy integration are superior to the predictions from the respective best individual classifiers. (C) 2013 Elsevier Inc. All rights reserved.",3,我们使用一个用于开发生物医学数据分析系统的复杂算法开发框架中的软件对象对这种方法进行了实证评估。,有效的模式分类需要一个高效的分类器与协同的预处理和后处理策略的耦合。在分类问题中经常出现的情况是，只有一部分特征具有区分能力，而其余的特征往往会混淆底层分类器的有效性。在这种情况下，一种明智的预处理策略是识别和选择歧视性特征，并修剪混淆的特征。,我们提出了一个模糊分类系统，带有预测聚合的模糊特征选择(FSPA)，它识别歧视性特征子集(使用基于模糊逻辑的采样规则)，这些特征子集被呈现给分类器集合，其中最佳分类器预测被聚合(使用模糊集成)以产生一致的预测集。为了验证该系统，我们从定量软件工程的角度研究了一个分类问题。,结果表明，基于预测聚合的模糊特征选择是一种有效的模式分类策略。通过使用模糊性能更新规则(预处理)对特征子集进行采样，将其呈现给分类器集合，并使用模糊集成聚合最佳独立结果以产生共识结果(后处理)，我们获得了比任何各自的最佳单个分类器更好的结果,,一个版本,"Borland’s Together software package
软件度量数据集包含n = 52个特征(软件度量)，描述n = 714种模式(软件对象)。",预测聚合模糊特征选择(FSPA);,,"x42 (protected members), x33 (operations), x35 (operands), x37 (remote methods), x19 (method cohesion), x31 (constructors),x34 (overridden methods), and x22 (method invocation coupling).","Scopira[10,47]是一个适用于生物医学数据分析和可视化的开源框架，以可扩展的c++库的形式提供高性能的端到端应用程序开发功能。",714个对象,公开,完成,C++,线性判别分析(LDA)[,类,模块质量,P为正确分类的物体与物体总数的比值;,证明了其特征选择的优越性，排除了混淆特征，减少特征数量，增加了软件质量分类的准确性，但是所用数据集规模较小，且标签为人为判定
"He, Peng; Li, Bing; Ma, Yutao; He, Lulu",Using Software Dependency to Bug Prediction,MATHEMATICAL PROBLEMS IN ENGINEERING,10.1155/2013/869356,2013,"Software maintenance, especially bug prediction, plays an important role in evaluating software quality and balancing development costs. This study attempts to use several quantitative network metrics to explore their relationships with bug prediction in terms of software dependency. Our work consists of four main steps. First, we constructed software dependency networks regarding five dependency scenes at the class-level granularity. Second, we used a set of nine representative and commonly used metrics-namely, centrality, degree, PageRank, and HITS, as well as modularity-to quantify the importance of each class. Third, we identified how these metrics were related to the proneness and severity of fixed bugs in Tomcat and Ant and determined the extent to which they were related. Finally, the significant metrics were considered as predictors for bug proneness and severity. The result suggests that there is a statistically significant relationship between class's importance and bug prediction. Furthermore, betweenness centrality and out-degree metric yield an impressive accuracy for bug prediction and test prioritization. The best accuracy of our prediction for bug proneness and bug severity is up to 54.7% and 66.7% (top 50, Tomcat) and 63.8% and 48.7% (top 100, Ant), respectively, within these two cases.",3,本研究试图使用几个定量的网络度量来探索它们在软件依赖方面与bug预测的关系。,在复杂网络理论与软件工程实践相结合的背景下，bug预测的研究在过去的几年里已经取得了一些新发现。在本文中，我们建议使用网络科学中的一些定量指标来实现复杂系统的错误预测，并进一步增强软件工程实践。,本研究试图使用几个定量的网络度量来探索它们在软件依赖方面与bug预测的关系,结果表明，类的重要性与bug预测之间存在统计学上显著的关系。此外，中间性中心性和出度度量在错误预测和测试优先级方面产生了令人印象深刻的准确性。在这两种情况下，我们对错误倾向和错误严重程度的预测准确率分别高达54.7%和66.7%(前50名，Tomcat)和63.8%和48.7%(前100名，Ant)。,,跨版本,"特征向量中心性(EC)
中间中心性(BC)
亲近中心性(CC)
PageRank(PR)
HITS
degree
模块化比率(MR)",无,无,"通过上述实验，我们了解到BC和outD指标对于表示漏洞的倾向性和严重性非常重要。
结果显示，outD的表现远远好于其他指标，f值几乎是其他指标的两倍多。最好的情况是50个节点的顶部为0.6667。
outD是预测间接类级软件网络的缺陷倾向和缺陷严重程度的最合适的度量。
表3显示了BC、D和outd指标的平均值与软件bug倾向性有显著的相关性。",Tomcat and Ant,"2015个类
1345个类",公开,完成,JAVA,直接通过指标,类,"故障倾向
故障严重程度",F值,探究了网络度量和bug严重度和倾向直接的依赖关系，outd指标有较好的结果，但是与其他文献相比，结果一般，只用网络度量不尽人意
"Wang, Huanjing; Khoshgoftaar, Taghi M.; Liang, Qianhui (Althea)",A STUDY OF SOFTWARE METRIC SELECTION TECHNIQUES: STABILITY ANALYSIS AND DEFECT PREDICTION MODEL PERFORMANCE,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,10.1142/S0218213013600105,2013,"Software metrics (features or attributes) are collected during the software development cycle. Metric selection is one of the most important preprocessing steps in the process of building defect prediction models and may improve the final prediction result. However, the addition or removal of program modules (instances or samples) can alter the subsets chosen by a feature selection technique, rendering the previously-selected feature sets invalid. Very limited research have been done considering both stability (or robustness) and defect prediction model performance together in the software engineering domain, despite the importance of both aspects when choosing a feature selection technique. In this paper, we test the stability and classification model performance of eighteen feature selection techniques as the magnitude of change to the datasets and the size of the selected feature subsets are varied. All experiments were conducted on sixteen datasets from three real-world software projects. The experimental results demonstrate that Gain Ratio shows the least stability while two different versions of ReliefF show the most stability, followed by the PRC- and AUC-based threshold-based feature selection techniques. Results also show that the signal-to-noise ranker performed moderately in terms of robustness and was the best ranker in terms of model performance. Finally, we conclude that while for some rankers, stability and classification performance are correlated, this is not true for other rankers, and therefore performance according to one scheme (stability or model performance) cannot be used to predict performance according to the other.",3,在本文中，我们测试了18种特征选择技术的稳定性和分类模型性能，因为数据集的变化幅度和选择的特征子集的大小是不同的。所有的实验都是在来自三个真实世界软件项目的16个数据集上进行的。,在过去的十年中，许多研究都从分类性能的角度考察了特征选择，但很少有研究关注特征选择技术的鲁棒性(或稳定性)。研究特征选择技术稳定性的目的是确定哪些技术提供的特征子集对数据的变化(向数据集添加或删除程序模块)具有鲁棒性。这些健壮的特征选择技术将选择即使在数据集中实例数量发生变化后也可以使用的特征子集。这对于软件质量从业者来说是很重要的，因为它允许他们在收集了额外的数据之后继续使用模型，而不必再次执行特征选择,在本研究中，我们研究了18种不同的特征选择技术的稳定性，包括6种常用的特征选择技术，11种基于阈值的特征选择(TBFS)技术，以及一种相对较新的称为信噪比的技术。我们通过测量使用完整数据集选择的子集与从删除实例的修改数据集选择的子集之间的方差来评估数据集上度量的稳定性。,结果还表明，从数据集中删除的实例数量会影响特征排序技术的稳定性。从给定数据集中删除(或添加)的实例越少，与原始数据集相比，所选特征的变化就越少，因此在该数据集上执行的特征排序将更加稳定。我们研究的主要结论是，仅仅因为一个排序器在稳健性方面表现最好，并不意味着该排序器在模型性能方面优于其他排序器，反之亦然。基于这些结果，我们建议在执行软件质量分析时使用信号噪声排序器来选择软件度量。,,跨版本,每个数据集都有不同的度量,18种特征选择方法,,"稳定性来说，可以看出RF、RFW和PRC的稳定性最好，GR的稳定性最差。
分类性能来说，S2N表现最好，其次是IG和AUC;RF和RFW表现最差，GR次之。
如S2N和基于AUC、PRC和fm的TBFS排名器，在两种方案下都表现出不错的性能。",包括一个非常大的电信软件系统(表示为LLTS)， Eclipse项目，和NASA软件项目KC1,,公开,完成,JAVA/C,"朴素贝叶斯
支持向量机
逻辑回归",文件级,故障倾向,AUC,特征选择方法的稳定性与其导致的分类性能没有直接关系，但是特征选择的确可以提升同一分类器的性能，足以可见特征的重要性
"Okutan, Ahmet; Yildiz, Olcay Taner",Software defect prediction using Bayesian networks,EMPIRICAL SOFTWARE ENGINEERING,10.1007/s10664-012-9218-8,2014,"There are lots of different software metrics discovered and used for defect prediction in the literature. Instead of dealing with so many metrics, it would be practical and easy if we could determine the set of metrics that are most important and focus on them more to predict defectiveness. We use Bayesian networks to determine the probabilistic influential relationships among software metrics and defect proneness. In addition to the metrics used in Promise data repository, we define two more metrics, i.e. NOD for the number of developers and LOCQ for the source code quality. We extract these metrics by inspecting the source code repositories of the selected Promise data repository data sets. At the end of our modeling, we learn the marginal defect proneness probability of the whole software system, the set of most effective metrics, and the influential relationships among metrics and defectiveness. Our experiments on nine open source Promise data repository data sets show that response for class (RFC), lines of code (LOC), and lack of coding quality (LOCQ) are the most effective metrics whereas coupling between objects (CBO), weighted method per class (WMC), and lack of cohesion of methods (LCOM) are less effective metrics on defect proneness. Furthermore, number of children (NOC) and depth of inheritance tree (DIT) have very limited effect and are untrustworthy. On the other hand, based on the experiments on Poi, Tomcat, and Xalan data sets, we observe that there is a positive correlation between the number of developers (NOD) and the level of defectiveness. However, further investigation involving a greater number of projects is needed to confirm our findings.",3,定义了另外两个指标，即用于开发人员数量的NOD和用于源代码质量的LOCQ。我们通过检查所选Promise数据存储库数据集的源代码存储库来提取这些指标。在建模的最后，我们了解了整个软件系统的边际缺陷倾向概率，最有效的度量集合，以及度量与缺陷之间的影响关系。,在文献中有许多不同的软件度量被发现并用于缺陷预测。如果我们能够确定最重要的一组度量标准，并更多地关注它们来预测缺陷，而不是处理如此多的度量标准，这将是实际的和容易的。,"我们使用贝叶斯网络来确定软件度量和缺陷倾向性之间的概率影响关系。
我们定义了另外两个度量标准，即NOD代表开发人员的数量，LOCQ代表源代码质量。","表明类响应(RFC)、代码行数(LOC)和缺乏编码质量(LOCQ)是最有效的度量，而对象之间的耦合(CBO)、加权类方法(WMC)和缺乏方法内聚(LCOM)是较不有效的缺陷倾向性度量。此外，子代数(NOC)和继承树深度(DIT)的影响非常有限，而且不可信。另一方面，开发者数量(NOD)和缺陷程度之间存在正相关关系
我们建议项目经理在将多个开发人员分配给一个类或文件时要小心。",首先，贝叶斯网络能够模拟一组变量对网络中另一个变量的概率影响。有了父母的概率，就可以计算出他们孩子的概率。其次，贝叶斯网络可以解决数据缺失问题。,版本内,"Group1 LOC CBO LOCQ 
Group2 WMC RFC 
Group3 LCOM–LCOM3 DIT NOC",,,"RFC、LOC和LOCQ对缺陷倾向更有效。另一方面，NOC和DIT对缺陷的影响是有限的和不可信的 
我们引入了一个新的度量，我们称之为编码质量缺失(LOCQ)，它可以用来预测缺陷，并且与著名的面向对象度量(如CBO和WMC)一样有效。
与LOC、CBO、RFC、LOCQ和wmc相比，LCOM3和LCOM对缺陷倾向的影响较小。",promise中9个,229-858类,公开,完成,JAVA？,贝叶斯网络,类,故障倾向,AUC,
"Liu, Mingxia; Miao, Linsong; Zhang, Daoqiang",Two-Stage Cost-Sensitive Learning for Software Defect Prediction,IEEE TRANSACTIONS ON RELIABILITY,10.1109/TR.2014.2316951,2014,"Software defect prediction (SDP), which classifies software modules into defect-prone and not-defect-prone categories, provides an effective way to maintain high quality software systems. Most existing SDP models attempt to attain lower classification error rates other than lower misclassification costs. However, in many real-world applications, misclassifying defect-prone modules as not-defect-prone ones usually leads to higher costs than misclassifying not-defect-prone modules as defect-prone ones. In this paper, we first propose a new two-stage cost-sensitive learning (TSCS) method for SDP, by utilizing cost information not only in the classification stage but also in the feature selection stage. Then, specifically for the feature selection stage, we develop three novel cost-sensitive feature selection algorithms, namely, Cost-Sensitive Variance Score (CSVS), Cost-Sensitive Laplacian Score (CSLS), and Cost-Sensitive Constraint Score (CSCS), by incorporating cost information into traditional feature selection algorithms. The proposed methods are evaluated on seven real data sets from NASA projects. Experimental results suggest that our TSCS method achieves better performance in software defect prediction compared to existing single-stage cost-sensitive classifiers. Also, our experiments show that the proposed cost-sensitive feature selection methods outperform traditional cost-blind feature selection methods, validating the efficacy of using cost information in the feature selection stage.",3,本文首先提出了一种新的两阶段代价敏感学习(TSCS)方法，该方法不仅利用分类阶段的代价信息，而且利用特征选择阶段的代价信息。然后，针对特征选择阶段，通过将成本信息融入传统特征选择算法，提出了三种新的代价敏感特征选择算法，即代价敏感方差评分(CSVS)、代价敏感拉普拉斯评分(CSLS)和代价敏感约束评分(CSCS)。,"不幸的是，软件缺陷预测仍然是一个难以解决的问题，它面临着两个挑战[22]-[24]:高维数和类不平衡。从软件模块中提取的特性(即软件度量)的数量变得比以前大得多，并且这些特性可能是冗余的或不相关的
特征选择是解决SDP中高维问题的有效方法。
然而，在大多数基于代价敏感学习的SDP研究中，代价信息是在分类阶段而不是在特征选择阶段使用的。但是在特征选择阶段考虑有价值的成本信息可能会进一步提高SDP模型的性能，因为与少数类(即，有缺陷的模块)相关的特征更有可能被选择",本文的目标是通过在分类和特征选择阶段使用成本信息，开发一种两阶段成本敏感(TSCS)学习方法。在成本敏感特征选择方面已经做了很多工作;我们还开发了三种新的代价敏感特征选择算法，在特征选择阶段强调错误分类代价较高的样本，而不强调错误分类代价较低的样本。,实验结果表明，TSCS方法优于单阶段代价敏感学习方法，而代价敏感特征选择方法优于传统的代价盲特征选择方法。,特征选择可以分为三类[25]:1)包装型方法，2)嵌入型方法，3)过滤器型方法。,版本内,,特征选择是解决SDP中高维问题的有效方法。在本文中，我们主要研究滤波器类型的特征选择。在特征选择阶段采用了三种代价敏感型特征选择算法(CSVS、CSLS和CSCS);,,"与神经网络相比，代价敏感型和代价盲型特征选择方法都能显著降低总代价，提高两个数据集的性能，说明特征选择是SDP问题的重要一步。
此外，本文提出的成本敏感特征选择方法在总成本和我们使用的两个数据集上的表现通常优于成本盲特征选择方法。这些结果进一步验证了在特征选择和分类阶段使用成本信息的有效性。",NASA MDP,505-5589个模块,公开,完成,C/JAVA,BPN反向传播神经网络,模块,故障倾向,sensitivity，accuracy，total-cost,
"Couto, Cesar; Pires, Pedro; Valente, Marco Tulio; Bigonha, Roberto S.; Anquetil, Nicolas",Predicting software defects with causality tests,JOURNAL OF SYSTEMS AND SOFTWARE,10.1016/j.jss.2014.01.033,2014,"In this paper, we propose a defect prediction approach centered on more robust evidences towards causality between source code metrics (as predictors) and the occurrence of defects. More specifically, we rely on the Granger causality test to evaluate whether past variations in source code metrics values can be used to forecast changes in time series of defects. Our approach triggers alarms when changes made to the source code of a target system have a high chance of producing defects. We evaluated our approach in several life stages of four Java-based systems. We reached an average precision greater than 50% in three out of the four systems we evaluated. Moreover, by comparing our approach with baselines that are not based on causality tests, it achieved a better precision. (C) 2014 Elsevier Inc. All rights reserved.",3,我们提出了一种缺陷预测方法，该方法集中在源代码度量(作为预测者)和缺陷发生之间的因果关系的更可靠的证据上。,然而，设计用于评估缺陷预测技术的典型实验并没有调查所发现的关系是否表明因果关系，或者它们是否仅仅是统计上的巧合。更具体地说，众所周知，回归模型——bug预测者使用的最常见的统计技术——不能过滤掉虚假关系[11]。,"在本文中，我们提出了一种缺陷预测方法，该方法以源代码度量值的变化(作为预测因子)和缺陷发生之间的因果关系为中心。更具体地说，我们依靠Clive Granger提出的统计假设检验来评估过去对给定时间序列的变化是否有助于预测另一个序列的变化。
我们的中心目标是在源代码中引入缺陷时预测缺陷。更具体地说，我们的目标是识别有更多机会产生缺陷的类的更改",我们的方法在我们评估的四个系统中的三个的几个生命阶段达到了50%的平均精度。此外，通过将我们的方法与不基于因果关系测试的基线进行比较，它获得了更好的精度。最后，正如在以前的研究中所描述的，我们不能确定与大多数缺陷普遍相关的一小组度量标准。,,跨版本,WMC、LCOM、FAN-IN、FAN-OUT、NOA、LOC、NOM,无,,,Eclipse JDT Core、Eclipse PDE UI、Equinox和Lucene,,公开,完成,JAVA,Granger,类级,文件改动导致的故障倾向,"precision
我们的方法在我们评估的四个系统中的三个系统中达到了超过50%的平均精度。
recall
在Eclipse JDT、Eclipse PDE UI、Equinox和Lucene系统中，测得的recall最大值分别为63%、44%、31%和52%。",验证m格兰杰是否会导致C中的缺陷，以及差异(mv - mv ')是否大于或等于度量值变化所识别的阈值。主要是通过所选度量的变化来学习故障特征，然后通过对比新引入的变化度量是否超过所学习到的阈值，来确定该改变是否会引入故障，该方法准确度不是很高。时间序列越多，判别可能越不准确
"Ma, Ying; Zhu, Shunzhi; Qin, Ke; Luo, Guangchun",Combining the requirement information for software defect estimation in design time,INFORMATION PROCESSING LETTERS,10.1016/j.ipl.2014.03.012,2014,"This paper analyzes the ability of requirement metrics for software defect prediction. Statistical significance tests are used to compare six machine learning algorithms on the requirement metrics, design metrics, and combination of both metrics in our analysis. The experimental results show the effectiveness of the predictor built on the combination of the requirement and design metrics in the early phase of the software development process. (C) 2014 Elsevier B.V. All rights reserved.",3,需求度量在软件缺陷预测中的能力。在我们的分析中，统计显著性测试用于比较需求度量、设计度量和这两种度量的组合上的六种机器学习算法。,但后来，他们报告了“天花板效应”，并认为学习缺陷预测的进一步进展可能不是来自更好的算法，而是来自更多的训练数据的信息内容,与之前的工作不同的是，我们比较了从需求度量、设计度量，以及使用朴素贝叶斯、AdaBoost、Bagging、随机森林、逻辑回归和K-Star方法的两者结合构建的缺陷预测器的性能,这一实证研究表明，建立在组合度量上的缺陷预测器可以应用于软件开发过程的早期阶段。我们发现建立在这两个度量组的组合上的模型表现得非常好。据我们所知，这是第一份调查从需求和设计度量的组合中构建的质量预测模型的性能的报告。我们的实验提供了最初的证据，证明结合软件人工度量可以显著地提高缺陷预测模型的有效性。,他们报告了“天花板效应”，并认为学习缺陷预测的进一步进展可能不是来自更好的算法，而是来自更多的训练数据的信息内容,版本内,"requirement metrics
Design metrics
这些数据集有9个需求度量属性和16个设计度量属性。",,,"两个度量组的组合具有更好的性能
我们对特征的有用性进行排序，并在实验中增加不同组特征的数量，如图2所示。我们可以看到，在达到峰值性能前，随着特征数量逐渐增加，基于所有指标构建的模型的性能也逐渐增加",NASA MDP（CM1、PC1）,"505design、114requirement
1107、320模块",公开,完成,C,朴素贝叶斯、AdaBoost、Bagging、随机森林、逻辑回归、K-Star方法,模块,故障倾向,"F值
AUC",
"Gao, Kehan; Khoshgoftaar, Taghi M.; Napolitano, Amri",The Use of Ensemble-Based Data Preprocessing Techniques for Software Defect Prediction,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,10.1142/S0218194014400105,2014,"Software defect prediction models that use software metrics such as code-level measurements and defect data to build classification models are useful tools for identifying potentially-problematic program modules. Effectiveness of detecting such modules is affected by the software measurements used, making data preprocessing an important step during software quality prediction. Generally, there are two problems affecting software measurement data: high dimensionality (where a training dataset has an extremely large number of independent attributes, or features) and class imbalance (where a training dataset has one class with relatively many more members than the other class). In this paper, we present a novel form of ensemble learning based on boosting that incorporates data sampling to alleviate class imbalance and feature (software metric) selection to address high dimensionality. As we adopt two different sampling methods (Random Undersampling (RUS) and Synthetic Minority Oversampling (SMOTE)) in the technique, we have two forms of our new ensemble-based approach: SelectRUSBoost and SelectSMOTEBOOST. To evaluate the effectiveness of these new techniques, we apply them to two groups of datasets from two real-world software systems. In the experiments, four learners and nine feature selection techniques are employed to build our models. We also consider versions of the technique which do not incorporate feature selection, and compare all four techniques (the two different ensemble-based approaches which utilize feature selection and the two versions which use sampling only). The experimental results demonstrate that SelectRUSBoost is generally more effective in improving defect prediction performance than SelectsMOTEBOOst, and that the techniques with feature selection do help for getting better prediction than the techniques without feature selection.",3,在本文中，我们提出了一种基于提升的集成学习的新形式，它结合了数据采样来缓解类失衡和特征(软件度量)选择来解决高维问题。,"然而，许多研究[3,4]表明，软件质量数据集的两个特征会对这些模型的有效性产生负面影响:高维和类不平衡。只有一小部分特征对预测类属性是重要的;其余的要么是不相关的(没有与类变量相关的有用信息)，要么是多余的(具有已经包含在其他特性中的信息)。最近的研究[6]表明，基于滤波器的特征排序技术是处理这一问题的简单、快速和有效的方法。",本文提出了一种集成数据采样、特征选择和集成学习(boosting)的新技术，以减轻高维、不平衡数据对缺陷预测模型的不利影响。,实验结果表明，SelectRUSBoost通常比SelectSMOTEBoost更有效地提高缺陷预测性能，并且具有特征选择的技术确实比不具有特征选择的技术有助于获得更好的预测。,,跨版本,"LLTS数据集由42个软件度量组成，包括24个产品度量、14个过程度量和4个执行度量
所有数据集包含209个软件属性，其中包括208个独立(预测器)属性和一个依赖属性","9种特征排序技术，包括6种标准技术[25]、2种基于阈值的技术[26]和信噪比
卡方(CS)、信息增益(IG)、增益比(GR)、两种解脱(RF和RFW)和对称不确定性(SU)。",该研究再次表明，特征选择确实改善了分类分类模型的预测。SRB的表现明显优于SSB。,"S2N、RF和rfw表现优于其他排序技术。CS、IG、SU、AUC和prc表现为平均水平。GR表现最差。研究还表明，当使用特征选择技术时，与不考虑特征选择的RB或SB技术相比，分类分类模型产生了明显更好的预测。
S2N仍然是表现最好的选手之一，但是RF和RFW这次的表现不如其他选手。","大型遗留电信软件系统(表示为LLTS)
Eclipse","3600-4000模块
377-661包",公开,完成,"类似C
JAVA",多层感知机，k近邻，支持向量机，逻辑回归,"模块
包",故障倾向,AUC,
