ID,dID
1,5
1,7
1,3
1,6
1,2
1,1
2,8
3,10
4,18
4,17
5,33
6,18
6,25
6,20
6,23
6,22
6,17
6,21
6,24
8,42
8,13
8,78
8,7
7,32
7,34
7,26
7,27
7,28
7,29
7,30
5,13
5,33
5,19
9,32
9,27
10,13
10,19
11,18
11,25
11,20
11,7
11,23
11,22
11,21
11,24
11,43
11,2
12,92
13,45
13,46
13,44
13,47
13,48
14,39
14,32
14,35
14,3
14,29
15,49
15,13
15,50
15,51
15,52
15,7
16,13
17,13
18,18
18,35
18,3
18,28
18,30
18,2
19,18
19,44
19,20
19,7
19,23
19,17
19,24
19,53
19,18
19,7
19,23
19,24
20,42
20,13
20,6
21,13
21,6
21,90
22,18
22,2
22,20
22,7
22,23
22,22
22,21
22,24
22,43
22,53
23,92
25,18
25,13
25,54
25,51
26,90
27,27
27,28
27,29
27,30
28,32
28,13
28,33
28,35
28,36
28,4
28,26
28,27
28,29
28,30
28,31
30,18
30,2
30,25
30,20
30,7
30,1
30,22
30,17
30,21
30,43
30,55
30,56
30,57
30,58
30,59
30,53
30,60
30,61
30,62
30,63
30,64
30,65
30,66
30,67
30,68
30,69
30,70
30,71
31,2
31,5
31,7
31,3
31,6
31,1
32,32
32,5
32,35
32,3
32,4
32,26
32,27
32,28
32,29
32,30
32,31
36,37
36,38
36,39
36,40
36,41
36,20
36,33
36,34
36,35
36,4
36,26
36,27
36,28
36,30
37,13
38,37
38,32
38,5
38,33
38,34
38,27
38,29
38,30
39,37
39,39
39,41
39,32
39,5
39,33
39,35
39,36
39,26
39,27
39,28
39,29
39,30
40,18
40,17
40,53
42,44
42,17
41,93
41,80
43,32
43,93
43,5
43,33
43,35
43,4
43,26
43,27
43,29
43,30
43,31
44,32
44,5
44,33
44,34
44,27
45,18
45,2
45,25
45,20
45,22
45,24
45,43
47,2
47,20
47,7
47,23
47,22
47,24
47,43
48,5
48,33
48,29
48,30
49,32
49,33
49,35
49,26
49,28
50,18
50,76
50,2
50,25
50,20
50,7
50,23
50,74
50,22
50,21
50,24
50,43
50,75
51,2
51,20
51,7
51,23
51,22
51,24
51,43
51,53
52,32
52,33
52,34
52,27
53,18
53,2
53,93
53,1
53,24
53,43
54,18
54,85
54,23
55,32
55,42
55,13
55,5
55,33
55,27
56,18
56,2
56,20
56,1
56,22
56,21
56,24
56,43
56,53
57,2
57,78
57,20
57,33
57,7
57,23
57,1
57,22
57,17
57,21
57,24
57,43
57,55
57,53
57,62
58,18
58,32
58,78
58,5
58,34
58,7
58,3
58,6
58,27
58,31
58,1
58,17
59,32
59,5
59,33
59,34
59,3
59,4
59,26
59,27
59,29
59,30
59,31
60,23
61,18
61,2
61,13
61,25
61,20
61,7
61,23
61,22
61,24
61,43
61,53
62,73
64,18
64,2
64,20
64,7
64,1
64,17
64,24
64,53
65,18
65,2
65,25
65,20
65,7
65,23
65,22
65,24
65,43
65,53
66,2
66,7
66,23
66,22
66,24
66,43
67,18
67,32
67,2
67,25
67,20
67,34
67,3
67,26
67,27
67,28
67,23
67,1
67,22
67,24
67,43
68,13
68,78
68,7
68,6
68,27
68,17
69,18
69,25
69,20
69,34
69,3
69,4
69,27
69,28
69,23
69,1
69,43
70,37
70,39
70,40
70,76
70,2
70,74
70,22
70,56
70,72
70,58
70,68
71,18
71,2
71,20
71,7
71,23
71,22
71,21
71,43
71,53
72,18
72,2
73,42
73,13
73,78
73,7
73,6
74,2
74,20
74,7
74,23
74,24
74,43
74,53
76,18
76,2
76,20
76,7
76,24
76,53
77,32
77,33
77,34
77,27
78,2
78,20
78,7
78,23
78,22
78,24
78,43
79,18
79,2
79,42
79,13
79,78
79,25
79,20
79,7
79,23
79,22
79,17
79,21
79,24
80,73
81,32
81,5
81,33
81,34
81,27
82,18
82,76
82,32
82,2
82,42
82,93
82,13
82,78
82,20
82,33
82,34
82,35
82,6
82,26
82,27
82,29
82,30
82,31
82,77
82,74
82,17
82,21
82,24
82,75
83,32
83,5
83,20
83,33
83,34
83,3
83,4
83,80
83,27
83,29
83,30
84,18
84,2
84,25
84,5
84,20
84,33
84,34
84,7
84,27
84,23
84,22
84,24
84,43
84,53
85,18
85,2
85,42
85,13
85,78
85,20
85,7
85,6
85,23
85,1
85,22
85,17
85,21
85,24
85,43
85,55
85,56
85,57
85,72
85,59
85,53
85,60
85,61
85,62
85,63
85,64
85,65
85,66
85,67
85,68
85,69
85,70
85,71
86,83
86,82
86,80
86,79
86,81
87,7
87,42
87,13
87,78
87,6
88,83
88,82
88,42
88,93
88,13
88,7
88,6
88,80
88,81
89,18
89,32
89,2
89,25
89,20
89,26
89,27
89,29
89,30
89,22
89,21
89,24
90,83
90,82
90,13
90,80
90,79
90,81
91,32
91,33
91,35
91,36
91,4
91,26
91,27
91,29
91,30
92,18
92,2
92,25
92,20
92,7
92,23
92,22
92,24
92,43
92,53
93,32
93,33
93,34
93,35
93,26
93,27
93,29
93,30
93,31
94,18
94,2
94,20
94,24
94,53
96,18
96,76
96,2
96,25
96,20
96,34
96,3
96,26
96,29
96,30
96,31
96,1
96,74
96,22
96,21
96,24
96,43
96,75
96,53
96,62
97,2
97,85
97,86
97,51
97,52
97,87
97,7
97,88
97,84
98,18
98,2
98,20
98,7
98,23
98,21
98,24
99,2
99,23
99,17
100,18
100,2
100,25
100,20
100,7
100,23
100,22
100,21
100,24
100,43
100,53
102,76
102,32
102,42
102,5
102,33
102,34
102,7
102,6
102,27
102,74
102,75
103,18
103,2
103,25
103,7
103,23
103,21
103,24
103,43
104,32
104,5
104,33
104,35
104,3
104,4
104,26
104,27
104,28
104,29
104,30
104,31
105,18
105,2
105,25
105,7
105,22
105,21
106,32
106,5
106,33
106,34
106,27
107,18
107,2
107,20
107,7
107,23
107,22
107,21
107,24
107,43
107,53
108,32
108,5
108,33
108,34
108,35
108,3
108,4
108,26
108,27
108,28
108,29
108,30
110,18
110,2
110,20
110,23
110,1
110,22
110,17
110,21
110,24
110,43
110,55
110,56
110,72
110,53
110,60
110,61
110,62
110,63
110,66
111,32
111,33
111,35
111,3
111,4
111,26
111,29
111,30
112,18
112,25
112,7
112,23
112,24
112,43
112,53
115,5
115,33
115,31
116,18
116,2
116,25
116,20
116,7
116,23
116,22
116,21
116,24
116,43
118,37
118,38
118,39
118,40
118,41
118,76
118,32
118,42
118,7
118,6
118,26
118,27
118,74
118,75
121,18
121,32
121,2
121,25
121,5
121,20
121,33
121,35
121,7
121,3
121,4
121,26
121,27
121,28
121,29
121,30
121,31
121,23
121,22
121,17
121,21
121,24
121,43
121,53
121,62
120,5
113,91
101,32
101,5
101,33
101,34
101,35
101,36
101,3
101,4
101,26
101,27
101,28
101,29
101,30
101,31
